"CTRD_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"G_ALL_BAL","Trade balance of all goods","40041","High income countries","2013","2013",-624512674794,,
"G_ALL_BAL","Trade balance of all goods","40041","High income countries","2014","2014",-785253179077,,
"G_ALL_BAL","Trade balance of all goods","40041","High income countries","2015","2015",-927634387490,,
"G_ALL_BAL","Trade balance of all goods","40041","High income countries","2016","2016",-903577307089,,
"G_ALL_BAL","Trade balance of all goods","40041","High income countries","2017","2017",-424219086969,,
"G_ALL_BAL","Trade balance of all goods","40041","High income countries","2018","2018",-419281975757,,
"G_ALL_BAL","Trade balance of all goods","40041","High income countries","2019","2019",-523667066179,,
"G_ALL_BAL","Trade balance of all goods","40043","Upper middle income countries","2013","2013",477316411492,,
"G_ALL_BAL","Trade balance of all goods","40043","Upper middle income countries","2014","2014",537412082793,,
"G_ALL_BAL","Trade balance of all goods","40043","Upper middle income countries","2015","2015",699519909165,,
"G_ALL_BAL","Trade balance of all goods","40043","Upper middle income countries","2016","2016",646957015392,,
"G_ALL_BAL","Trade balance of all goods","40043","Upper middle income countries","2017","2017",542084676835,,
"G_ALL_BAL","Trade balance of all goods","40043","Upper middle income countries","2018","2018",575056687155,,
"G_ALL_BAL","Trade balance of all goods","40043","Upper middle income countries","2019","2019",639223405378,,
"G_ALL_BAL","Trade balance of all goods","40044","Low income countries","2013","2013",-8211897594,,
"G_ALL_BAL","Trade balance of all goods","40044","Low income countries","2014","2014",-13246473428,,
"G_ALL_BAL","Trade balance of all goods","40044","Low income countries","2015","2015",5841837399,,
"G_ALL_BAL","Trade balance of all goods","40044","Low income countries","2016","2016",7351790982,,
"G_ALL_BAL","Trade balance of all goods","40044","Low income countries","2017","2017",24487623956,,
"G_ALL_BAL","Trade balance of all goods","40044","Low income countries","2018","2018",4432575092,,
"G_ALL_BAL","Trade balance of all goods","40044","Low income countries","2019","2019",30450683336,,
"G_ALL_BAL","Trade balance of all goods","40042","Lower middle income countries","2013","2013",-217499305530,,
"G_ALL_BAL","Trade balance of all goods","40042","Lower middle income countries","2014","2014",-220019343840,,
"G_ALL_BAL","Trade balance of all goods","40042","Lower middle income countries","2015","2015",-319210807766,,
"G_ALL_BAL","Trade balance of all goods","40042","Lower middle income countries","2016","2016",-302337648606,,
"G_ALL_BAL","Trade balance of all goods","40042","Lower middle income countries","2017","2017",-336875040790,,
"G_ALL_BAL","Trade balance of all goods","40042","Lower middle income countries","2018","2018",-362004163200,,
"G_ALL_BAL","Trade balance of all goods","40042","Lower middle income countries","2019","2019",-332445641211,,
